City,Cost_Of_Living_RPP,Population,Median_Household_Income,Real_Purchasing_Power
"New York, NY",114.81,20011812,86445,75293.96
"San Francisco, CA",120.038,4725584,118547,98757.89
"Boston, MA",109.815,4912030,99039,90187.13
"Washington, DC",111.564,6332069,111252,99720.34
"Seattle, WA",114.481,3971125,97675,85319.83
"Miami, FL",110.014,6105897,62870,57147.27
"Chicago, IL",105.464,9607711,78790,74707.96
"Denver, CO",109.067,2936665,88512,81153.79
"Austin, TX",99.973,2234300,85398,85421.06
"Atlanta, GA",99.03,6026734,75267,76004.24
"Phoenix, AZ",99.126,4787811,72211,72847.69
"Nashville, TN",95.193,1960999,72537,76199.93
"Houston, TX",99.724,7048954,72551,72751.79
"Kansas City, MO",93.64,2176124,73299,78277.45
"Memphis, TN",90.292,1335291,56926,63046.56
